update,grad_norm,clipped,loss,cls,box,quality,depth,num_pos,gate_rate,temp_gate_absmean,bank_slots,temporal_active,bank_resets,grad_backbone,grad_head
24,24.4304,0,14.7452,9.3556,2.8417,1.4702,1.0777,9,0.889,0.00035,4,4/4,0,13.0814,20.6330
25,21.7231,0,16.1591,9.3934,3.6822,2.0163,1.0672,9,1.000,0.00037,4,4/4,0,12.4359,17.8113
26,22.2192,0,16.6307,9.0427,4.1899,2.2754,1.1228,9,1.000,0.00039,4,4/4,0,12.9195,18.0771
27,24.1527,0,16.7158,9.2835,3.8356,2.2075,1.3892,9,0.889,0.00040,4,4/4,0,12.4557,20.6932
28,25.7168,1,18.6019,9.2218,5.3216,2.6514,1.4071,10,1.000,0.00042,4,4/4,0,13.1123,22.1228
29,24.5739,0,20.0318,8.8072,6.9223,3.3367,0.9657,10,0.900,0.00044,4,4/4,0,10.2231,22.3464
30,25.7056,1,19.2467,8.9125,6.3622,3.0536,0.9184,10,0.900,0.00045,4,4/4,0,10.3412,23.5338
31,25.3451,1,20.6474,8.8088,7.2627,3.6134,0.9625,10,0.900,0.00047,4,4/4,0,9.7853,23.3799
32,31.1156,1,21.6740,8.5299,8.3188,3.9740,0.8513,10,0.900,0.00048,4,4/4,0,10.4681,29.3019
33,32.7556,1,22.3213,8.4136,8.7962,4.2753,0.8362,9,1.000,0.00049,4,4/4,0,10.2994,31.0942
34,34.2482,1,23.7366,8.2752,9.9871,4.5849,0.8894,9,1.000,0.00051,4,4/4,0,10.3516,32.6464
35,39.7663,1,22.3563,8.4824,8.7120,3.9088,1.2531,9,1.000,0.00052,4,4/4,0,12.6411,37.7036
36,36.8286,1,24.2197,8.2018,10.6442,4.5282,0.8455,10,1.000,0.00053,4,4/4,0,9.2004,35.6609
37,34.7483,1,23.6460,8.2969,10.0386,4.3805,0.9301,10,1.000,0.00054,4,4/4,0,8.8573,33.6005
38,37.7839,1,24.1377,8.3242,10.3510,4.6307,0.8317,10,1.000,0.00055,4,4/4,0,9.3465,36.6096
39,26.8981,1,24.4199,8.2544,10.5661,4.5305,1.0688,10,1.000,0.00056,4,4/4,0,9.3077,25.2364
40,33.2379,1,23.0358,8.2313,9.5865,4.4276,0.7905,10,1.000,0.00056,4,4/4,0,9.8728,31.7378
41,25.3447,1,23.9864,8.0600,10.3729,4.7081,0.8454,10,1.000,0.00057,4,4/4,0,9.0689,23.6666
42,29.4891,1,23.1906,8.0301,9.9287,4.4391,0.7928,10,1.000,0.00057,4,4/4,0,10.3723,27.6048
43,31.1202,1,24.8216,8.0287,11.1771,4.8008,0.8150,10,1.000,0.00058,4,4/4,0,9.0289,29.7817
44,30.0609,1,21.7834,8.1562,8.8487,3.9650,0.8135,10,0.900,0.00058,4,4/4,0,8.8483,28.7292
45,40.0892,1,23.1057,8.1814,9.7477,4.2757,0.9010,10,0.900,0.00059,4,4/4,0,8.3200,39.2164
46,33.0379,1,23.3976,8.2119,10.0093,4.2824,0.8939,10,1.000,0.00059,4,4/4,0,10.0806,31.4625
47,37.0647,1,24.2997,8.1778,10.6634,4.5636,0.8948,10,1.000,0.00060,4,4/4,0,9.7979,35.7463
48,38.7662,1,23.6012,8.3709,9.8986,4.4086,0.9231,11,0.909,0.00060,4,4/4,0,12.0952,36.8310
49,48.2234,1,22.5743,8.0931,9.3972,4.2896,0.7943,10,1.000,0.00061,4,4/4,0,11.5832,46.8116
50,36.4323,1,23.8476,8.2492,10.0433,4.6629,0.8922,10,1.000,0.00061,4,4/4,0,11.5214,34.5626
51,30.2987,1,23.1658,8.3942,9.3913,4.4463,0.9340,10,1.000,0.00062,4,4/4,0,11.3027,28.1116
52,28.3019,1,23.7434,8.2629,10.0335,4.5541,0.8929,10,1.000,0.00062,4,4/4,0,9.9940,26.4787
53,33.0743,1,23.5910,8.1657,9.9662,4.6117,0.8473,10,0.900,0.00062,4,4/4,0,11.7368,30.9218
54,34.8650,1,23.3103,8.2196,9.6618,4.4863,0.9426,10,0.900,0.00062,4,3/4,1,17.5447,30.1290
55,39.6707,1,22.2385,8.3544,8.7162,4.1934,0.9746,10,0.900,0.00063,4,4/4,1,20.4097,34.0178
56,34.3758,1,23.1624,8.2647,9.5272,4.4528,0.9177,10,0.900,0.00063,4,4/4,1,14.9577,30.9510
57,27.9678,1,22.7167,8.3390,8.9709,4.2803,1.1265,10,0.900,0.00063,4,4/4,1,13.1223,24.6983
58,33.8860,1,23.5828,8.1089,9.8578,4.8088,0.8072,9,1.000,0.00063,4,4/4,1,19.0112,28.0505
59,37.8405,1,22.9079,8.3213,9.0009,4.4880,1.0977,9,1.000,0.00063,4,4/4,1,20.9025,31.5434
60,35.5264,1,22.4689,8.0824,8.7837,4.7025,0.9003,9,1.000,0.00063,4,4/4,1,19.5964,29.6328
61,30.0121,1,22.7059,7.8872,9.2914,4.7610,0.7663,9,1.000,0.00063,4,4/4,1,16.5767,25.0187
62,27.6409,1,22.2193,7.8596,9.0399,4.5558,0.7640,9,1.000,0.00063,4,4/4,1,9.4883,25.9613
63,25.3733,1,22.4125,7.8835,9.0816,4.6877,0.7597,9,1.000,0.00063,4,4/4,1,11.3018,22.7173
64,28.5709,1,21.4430,7.9352,8.2174,4.5158,0.7746,10,0.800,0.00063,4,4/4,1,17.2638,22.7653
65,31.0142,1,21.0582,8.0285,8.1764,4.0818,0.7714,11,0.727,0.00063,4,4/4,1,16.0519,26.5370
66,22.6703,0,20.2946,8.0537,7.6312,3.8617,0.7480,11,0.727,0.00063,4,4/4,1,12.5422,18.8848
67,28.4930,1,21.4021,7.8116,8.6553,4.1963,0.7388,11,0.909,0.00063,4,4/4,1,11.3354,26.1411
68,28.3567,1,22.5807,7.6963,9.6716,4.4587,0.7541,11,0.909,0.00063,4,4/4,1,10.5697,26.3132
69,25.2761,1,20.9982,8.0085,8.2557,3.9762,0.7578,12,0.833,0.00063,4,4/4,1,12.3332,22.0629
70,32.8042,1,22.0974,7.7356,9.2038,4.4285,0.7295,11,0.818,0.00063,4,4/4,1,13.0274,30.1066
71,30.4683,1,21.4425,7.7423,8.7433,4.2401,0.7168,11,0.818,0.00063,4,4/4,1,12.5771,27.7512
72,31.9295,1,21.2331,7.9098,8.2520,4.3528,0.7186,10,0.900,0.00063,4,4/4,1,11.3036,29.8617
73,30.3157,1,21.2335,7.7139,8.5188,4.2737,0.7271,10,0.900,0.00063,4,4/4,1,9.8200,28.6812
74,32.6949,1,21.7096,7.7821,8.6677,4.5827,0.6772,10,1.000,0.00064,4,4/4,1,11.7701,30.5027
75,32.0827,1,19.1537,7.7344,7.1292,3.5909,0.6992,12,0.667,0.00064,4,4/4,4,17.6420,26.7966
76,27.8541,1,20.7233,8.0567,7.9576,3.9325,0.7765,12,0.833,0.00064,4,4/4,4,14.0453,24.0537
77,30.0874,1,21.5628,7.7857,8.5664,4.5526,0.6581,11,0.909,0.00064,4,4/4,4,16.8217,24.9456
78,37.8221,1,20.2129,7.9136,7.5843,3.8648,0.8502,10,0.800,0.00064,4,4/4,4,14.8274,34.7945
79,30.6868,1,20.1640,7.4930,7.7929,4.2305,0.6476,11,1.000,0.00064,4,4/4,4,13.4136,27.5999
80,41.0907,1,20.8119,7.8172,8.0393,4.3006,0.6548,11,1.000,0.00064,4,4/4,4,13.9242,38.6595
81,34.6431,1,20.9565,7.4166,8.1823,4.7162,0.6413,11,1.000,0.00064,4,4/4,4,11.7562,32.5873
82,29.2741,1,20.9296,7.6059,8.1543,4.5135,0.6559,11,1.000,0.00064,4,4/4,4,15.3352,24.9360
83,29.6713,1,20.6199,7.4838,8.2136,4.2866,0.6359,10,1.000,0.00064,4,4/4,4,10.4140,27.7837
84,24.9978,0,20.5247,7.3012,8.2322,4.3757,0.6157,11,1.000,0.00064,4,4/4,4,10.0702,22.8797
85,32.9398,1,20.2256,7.1518,8.1348,4.3294,0.6096,11,1.000,0.00064,4,4/4,4,10.0110,31.3817
86,29.2686,1,20.0141,7.1412,7.9743,4.2882,0.6105,11,1.000,0.00064,4,4/4,4,10.4580,27.3364
87,30.3360,1,20.4165,7.2057,8.0589,4.5337,0.6182,11,1.000,0.00063,4,4/4,4,12.3939,27.6887
88,28.6470,1,20.0753,7.2049,7.9591,4.2942,0.6170,11,1.000,0.00063,4,4/4,4,11.0494,26.4303
89,27.9029,1,20.0890,7.1356,7.9637,4.3685,0.6212,12,1.000,0.00063,4,4/4,4,14.3153,23.9508
90,21.4314,0,20.4532,6.9193,8.2463,4.6716,0.6160,12,1.000,0.00063,4,4/4,4,10.4516,18.7101
91,24.2901,0,20.2473,6.9398,8.0674,4.6041,0.6359,12,1.000,0.00063,4,4/4,4,9.6522,22.2900
92,27.4283,1,20.0723,6.9100,8.0520,4.4861,0.6243,12,1.000,0.00063,4,4/4,4,8.5232,26.0704
93,31.8045,1,19.9835,7.1692,7.9300,4.2388,0.6456,12,0.917,0.00063,4,4/4,4,10.0917,30.1610
94,42.7178,1,20.1053,7.0101,8.1153,4.3734,0.6065,13,0.923,0.00063,4,4/4,4,10.2962,41.4584
95,47.5515,1,20.3500,6.9992,8.1137,4.5921,0.6450,13,1.000,0.00063,4,4/4,4,12.2266,45.9527
96,33.2696,1,19.5638,6.9959,7.7481,4.1642,0.6555,12,1.000,0.00063,4,4/4,4,12.2599,30.9283
97,29.7928,1,19.8486,6.7500,8.0868,4.3940,0.6179,13,1.000,0.00063,4,4/4,4,13.3818,26.6184
98,30.6952,1,19.4226,6.6761,7.5750,4.5439,0.6276,13,1.000,0.00063,4,4/4,4,10.6590,28.7851
99,34.1131,1,19.2629,6.6182,7.4133,4.5771,0.6543,13,1.000,0.00063,4,4/4,4,8.9771,32.9107
100,29.5135,1,19.7009,6.6653,7.8045,4.5149,0.7163,13,1.000,0.00063,4,4/4,4,10.8746,27.4370
101,38.9781,1,20.7488,7.1365,8.2978,4.5821,0.7324,13,1.000,0.00064,4,4/4,4,15.4328,35.7928
102,31.2965,1,20.0778,6.5308,8.2407,4.5852,0.7211,13,1.000,0.00064,4,4/4,4,10.6926,29.4132
103,27.3671,1,19.5756,7.1512,7.3065,4.3800,0.7380,13,1.000,0.00064,4,4/4,4,10.5094,25.2687
104,47.0513,1,20.0124,6.5298,8.0389,4.7083,0.7353,13,1.000,0.00065,4,4/4,4,33.4116,33.1284
105,43.3128,1,19.5272,6.3981,7.9237,4.5189,0.6866,12,1.000,0.00065,4,4/4,4,29.1022,32.0790
106,27.2462,1,19.1200,6.5370,7.3355,4.5320,0.7155,13,1.000,0.00065,4,4/4,4,13.2624,23.8005
107,27.1995,1,19.5016,6.6153,7.3709,4.8163,0.6991,13,1.000,0.00066,4,4/4,4,12.6970,24.0541
108,30.1602,1,19.7782,6.6159,7.5476,4.8999,0.7148,13,1.000,0.00066,4,4/4,4,11.0183,28.0756
109,31.3582,1,18.9568,6.5411,6.8631,4.8575,0.6950,12,1.000,0.00067,4,4/4,4,11.8647,29.0269
110,28.5354,1,19.0771,6.5130,6.9355,4.9332,0.6953,11,1.000,0.00067,4,4/4,4,12.8523,25.4772
111,35.0605,1,18.5681,6.4691,6.6109,4.7832,0.7048,12,1.000,0.00067,4,4/4,4,11.8296,33.0045
112,38.4222,1,18.3338,6.4230,6.5115,4.6925,0.7069,12,1.000,0.00067,4,4/4,4,9.7819,37.1562
113,32.4512,1,18.4971,6.5326,6.6865,4.5770,0.7010,11,0.909,0.00068,4,4/4,4,14.0192,29.2667
114,35.0228,1,19.1670,6.2910,7.2240,4.9087,0.7434,11,1.000,0.00068,4,4/4,4,11.9603,32.9173
115,37.0768,1,18.1418,6.6779,6.3047,4.4403,0.7189,11,0.909,0.00068,4,4/4,4,13.4380,34.5559
116,33.8320,1,19.4735,6.5685,7.3604,4.8572,0.6873,12,1.000,0.00068,4,4/4,4,14.4723,30.5804
117,31.7371,1,19.7147,6.7261,7.4430,4.8509,0.6946,12,0.917,0.00068,4,4/4,4,13.7079,28.6241
118,35.3665,1,19.8293,7.2850,7.1136,4.5069,0.9238,11,1.000,0.00068,4,4/4,4,22.2016,27.5296
119,33.6598,1,19.5477,6.7361,7.2966,4.7693,0.7458,11,1.000,0.00068,4,4/4,4,15.3718,29.9448
120,27.5026,1,18.9460,6.5285,7.1567,4.5781,0.6828,11,1.000,0.00068,4,4/4,4,12.9204,24.2787
121,28.8750,1,19.3063,6.4815,7.5310,4.6181,0.6758,11,1.000,0.00067,4,4/4,4,14.4187,25.0173
122,33.3618,1,18.9977,6.4120,7.3000,4.5926,0.6932,11,1.000,0.00067,4,4/4,4,13.5406,30.4904
123,27.3780,1,19.1198,6.3118,7.4493,4.6941,0.6645,11,0.909,0.00067,4,4/4,4,12.6709,24.2693
124,38.6892,1,19.4858,6.4445,7.7015,4.6621,0.6776,11,1.000,0.00067,4,4/4,4,13.3257,36.3219
125,34.3476,1,19.5827,6.9050,7.1376,4.5410,0.9990,11,0.818,0.00067,4,4/4,4,19.8583,28.0251
126,45.8189,1,19.4427,6.8477,7.6404,4.2235,0.7312,12,0.750,0.00067,4,4/4,4,33.9243,30.7981
127,30.6535,1,19.2270,6.6511,7.3971,4.5155,0.6632,11,0.818,0.00067,4,4/4,4,16.7311,25.6848
128,34.0857,1,19.0031,6.2378,7.7093,4.4045,0.6514,11,0.909,0.00067,4,4/4,4,17.4275,29.2936
129,29.7188,1,19.1431,6.3032,7.7571,4.3817,0.7012,14,0.857,0.00068,4,3/4,5,13.3329,26.5601
130,26.3179,1,20.1785,6.0958,8.6357,4.7623,0.6848,14,0.929,0.00068,4,4/4,5,13.6632,22.4933
131,28.8882,1,19.6736,6.2864,8.1947,4.3843,0.8082,13,0.769,0.00069,4,4/4,5,14.7405,24.8445
132,31.8860,1,18.9392,6.1698,7.9373,4.1390,0.6932,13,0.923,0.00070,4,4/4,5,16.4836,27.2948
133,40.3233,1,19.2902,6.9439,7.4894,4.0757,0.7812,13,0.923,0.00070,4,4/4,5,23.2838,32.9217
134,38.6603,1,18.7776,6.2727,7.5112,4.2484,0.7453,13,1.000,0.00071,4,4/4,5,19.3775,33.4533
135,34.2614,1,19.1569,6.0922,7.9294,4.4235,0.7118,13,1.000,0.00072,4,4/4,5,17.6665,29.3554
136,32.6601,1,19.5598,6.0522,8.2070,4.5793,0.7214,13,1.000,0.00072,4,4/4,5,13.6705,29.6615
137,38.6589,1,18.5459,6.1734,7.3290,4.3432,0.7003,13,1.000,0.00073,4,4/4,5,14.0362,36.0208
138,50.7008,1,18.0611,7.0106,6.2455,3.9531,0.8519,13,1.000,0.00073,4,4/4,5,36.6414,35.0425
139,38.9047,1,18.8104,5.9537,7.6550,4.5280,0.6736,12,1.000,0.00074,4,4/4,5,21.8777,32.1705
140,43.9313,1,18.7138,6.0528,7.4933,4.4943,0.6733,12,1.000,0.00074,4,4/4,5,24.7446,36.2997
141,34.1369,1,18.3113,6.0684,7.3104,4.2841,0.6485,12,0.917,0.00074,4,4/4,5,14.3171,30.9895
142,39.6569,1,18.7217,5.9071,7.7861,4.3793,0.6492,12,1.000,0.00074,4,4/4,5,26.2895,29.6906
143,39.8720,1,19.1027,6.5158,7.6192,4.2539,0.7138,11,1.000,0.00075,4,4/4,5,21.9701,33.2730
144,34.7703,1,18.5943,6.0963,7.3848,4.4101,0.7031,11,1.000,0.00075,4,4/4,5,14.6477,31.5344
145,41.6382,1,19.1754,6.3402,7.6547,4.3480,0.8325,11,1.000,0.00075,4,4/4,5,18.9317,37.0855
146,32.8061,1,17.8221,6.0708,6.8525,4.2459,0.6529,11,1.000,0.00076,4,4/4,5,14.0141,29.6621
147,40.2963,1,18.6227,6.0664,7.3288,4.4315,0.7961,10,0.900,0.00076,4,4/4,5,18.4757,35.8112
148,45.1195,1,19.0199,6.2220,7.7067,4.4624,0.6289,10,1.000,0.00076,4,4/4,5,23.5387,38.4928
149,53.1091,1,19.2261,6.0766,8.0112,4.5061,0.6321,10,1.000,0.00076,4,4/4,5,19.7944,49.2825
150,47.7921,1,20.8261,6.5475,7.9649,5.6718,0.6418,9,1.000,0.00077,4,4/4,8,25.0530,40.6992
151,51.5348,1,19.5789,6.3758,7.2087,5.3490,0.6454,10,0.900,0.00077,4,4/4,8,24.3972,45.3940
152,43.1886,1,20.8511,6.2228,8.5638,5.4434,0.6210,11,1.000,0.00076,4,4/4,8,23.7283,36.0863
153,44.0186,1,20.7230,7.0151,8.3265,4.6142,0.7673,11,0.909,0.00076,4,4/4,8,25.9439,35.5605
154,44.1936,1,20.5618,6.2916,8.5207,5.1118,0.6377,10,1.000,0.00076,4,4/4,8,23.4025,37.4886
155,42.3454,1,19.9140,6.2394,8.0427,5.0295,0.6025,10,1.000,0.00075,4,4/4,8,18.9837,37.8517
156,37.8320,1,19.3298,6.1252,8.0290,4.5890,0.5866,10,0.900,0.00075,4,4/4,8,17.0831,33.7554
157,38.0397,1,19.5283,6.4902,7.8039,4.6185,0.6157,10,0.800,0.00075,4,4/4,8,21.3364,31.4925
158,53.3346,1,19.7832,7.1758,7.6326,4.3562,0.6187,10,0.900,0.00074,4,4/4,8,40.3901,34.8313
159,40.6056,1,19.9718,6.4938,8.4279,4.4150,0.6351,10,0.900,0.00074,4,4/4,8,29.4841,27.9195
160,38.9935,1,20.0935,6.2705,8.6455,4.5981,0.5795,10,0.900,0.00074,4,4/4,8,18.5753,34.2849
161,38.4749,1,20.0391,6.3559,8.4106,4.7279,0.5446,10,1.000,0.00073,4,4/4,8,14.1759,35.7682
162,35.2692,1,21.3236,6.4858,9.0733,5.2091,0.5554,10,1.000,0.00073,4,4/4,8,12.9826,32.7928
163,30.6569,1,21.3454,6.2991,9.1611,5.3323,0.5528,10,1.000,0.00072,4,4/4,8,13.7738,27.3884
164,38.1925,1,21.1644,6.2429,9.1968,5.1861,0.5387,10,1.000,0.00072,4,4/4,8,16.9744,34.2131
165,41.0397,1,20.0089,6.5726,8.2602,4.6314,0.5447,10,1.000,0.00072,4,4/4,8,17.8238,36.9671
166,28.3651,1,20.2031,6.4960,8.3906,4.7292,0.5873,10,1.000,0.00071,4,4/4,8,15.0468,24.0452
167,34.9268,1,20.0226,6.4854,8.3668,4.5850,0.5854,10,1.000,0.00071,4,4/4,8,17.3387,30.3192
168,36.0727,1,20.2049,6.9854,8.2165,4.3706,0.6325,10,0.900,0.00071,4,4/4,8,25.4056,25.6084
169,50.9279,1,19.9845,6.3960,8.4147,4.6116,0.5623,10,1.000,0.00071,4,4/4,8,33.4031,38.4432
170,31.0395,1,17.9609,7.2440,6.5923,3.5216,0.6030,10,0.800,0.00071,4,4/4,8,21.9422,21.9543
171,40.8882,1,18.8103,7.0581,7.2211,3.9495,0.5815,10,0.800,0.00071,4,4/4,8,22.0915,34.4066
172,34.9089,1,20.8042,6.9576,8.7115,4.5576,0.5775,10,0.900,0.00071,4,4/4,8,21.3209,27.6414
173,39.8180,1,19.9637,6.2685,8.6038,4.5033,0.5882,9,1.000,0.00071,4,4/4,8,16.2555,36.3487
174,41.6445,1,20.3285,6.2186,8.8093,4.7453,0.5552,9,1.000,0.00071,4,4/4,8,14.4622,39.0526
175,39.6504,1,19.3780,7.1594,7.3756,4.1970,0.6460,9,0.889,0.00071,4,4/4,8,23.2878,32.0911
176,42.1207,1,18.6331,6.3552,7.5002,4.2033,0.5744,9,0.889,0.00070,4,4/4,8,16.0450,38.9449
177,44.1558,1,19.5151,7.7231,7.2795,3.7870,0.7256,9,0.778,0.00070,4,4/4,8,26.3112,35.4606
178,46.4072,1,19.1623,6.1753,8.1443,4.2580,0.5847,9,0.889,0.00070,4,4/4,8,11.2165,45.0313
179,34.5347,1,18.9641,6.0789,7.9209,4.3649,0.5994,9,1.000,0.00070,4,4/4,8,13.5867,31.7497
180,31.6363,1,19.8086,6.1273,8.3984,4.6562,0.6267,9,0.889,0.00070,4,4/4,8,14.3727,28.1830
181,37.8510,1,19.5540,5.8236,8.3731,4.7525,0.6048,9,0.889,0.00070,4,4/4,8,14.5509,34.9424
182,37.6741,1,19.2128,5.7475,8.3719,4.5012,0.5922,9,0.889,0.00070,4,4/4,8,12.1512,35.6608
183,35.1217,1,20.0457,5.3859,9.1089,4.9623,0.5886,8,1.000,0.00070,4,4/4,8,13.8208,32.2881
184,44.8102,1,18.7451,6.1620,7.8778,4.1089,0.5965,9,0.889,0.00070,4,4/4,8,13.9780,42.5743
185,33.5338,1,18.8364,6.0791,8.0683,4.1495,0.5396,9,0.889,0.00071,4,4/4,8,17.3457,28.6991
186,30.0254,1,18.6537,5.9726,7.8188,4.2648,0.5976,9,1.000,0.00071,4,4/4,8,13.6771,26.7294
187,44.9679,1,18.6628,5.4816,8.3140,4.3148,0.5523,9,0.889,0.00072,4,4/4,8,38.7154,22.8743
188,43.7931,1,18.8595,5.7449,8.3652,4.2077,0.5417,9,0.889,0.00072,4,4/4,8,17.8123,40.0069
189,30.5082,1,18.7998,5.5280,8.5609,4.1544,0.5565,9,1.000,0.00073,4,4/4,8,17.6928,24.8539
190,29.9929,1,18.2968,5.6350,8.0705,4.0354,0.5559,9,0.889,0.00074,4,4/4,8,15.9459,25.4028
191,33.1207,1,18.8289,5.6382,8.4549,4.1697,0.5661,9,1.000,0.00075,4,4/4,8,19.3236,26.8994
192,33.1374,1,20.8056,5.5608,10.1463,4.4826,0.6160,9,1.000,0.00076,4,4/4,8,17.7559,27.9788
193,44.4982,1,19.9335,5.8656,9.2270,4.3319,0.5091,9,1.000,0.00078,4,4/4,8,18.9151,40.2779
194,38.1155,1,19.8057,6.0288,8.7962,4.3614,0.6192,8,1.000,0.00079,4,4/4,8,16.1730,34.5141
195,45.4570,1,19.5370,5.9205,8.5736,4.5376,0.5053,8,1.000,0.00080,4,4/4,8,17.5251,41.9429
196,63.2770,1,22.2775,6.2571,10.6742,4.8227,0.5235,6,1.000,0.00080,4,4/4,8,51.7225,36.4522
197,51.0544,1,21.8173,6.1823,10.4761,4.6376,0.5213,6,1.000,0.00081,4,4/4,8,34.0753,38.0187
198,57.0999,1,22.7909,7.3647,10.5293,4.3664,0.5305,6,1.000,0.00081,4,3/4,9,47.1092,32.2665
199,71.8756,1,22.4549,6.6498,10.6055,4.6975,0.5021,6,1.000,0.00081,4,4/4,9,54.5974,46.7464
200,56.5261,1,21.1771,6.4256,10.0051,4.2054,0.5410,7,0.857,0.00081,4,4/4,9,44.5768,34.7577
201,62.1236,1,23.1301,6.3761,11.3887,4.7983,0.5671,7,1.000,0.00080,4,4/4,9,39.4148,48.0189
202,59.7208,1,22.3337,6.0622,11.1028,4.5274,0.6413,7,0.857,0.00079,4,4/4,9,40.5385,43.8544
203,47.3609,1,22.3431,5.1973,11.8146,4.7365,0.5948,7,1.000,0.00079,4,4/4,9,19.9317,42.9626
204,48.4430,1,22.1201,5.5911,11.2366,4.7365,0.5559,8,0.750,0.00078,4,3/4,10,24.4302,41.8317
205,73.0039,1,21.0823,5.8947,10.0553,4.5808,0.5514,8,1.000,0.00077,4,4/4,10,31.5666,65.8264
206,67.7742,1,20.0442,6.4177,8.6091,3.8196,1.1979,8,0.875,0.00076,4,4/4,10,36.8758,56.8641
207,59.7145,1,20.4465,6.1862,9.3453,4.3724,0.5426,8,0.750,0.00076,4,4/4,10,33.7718,49.2472
208,63.0571,1,20.1409,5.7773,9.3890,4.4089,0.5656,8,1.000,0.00075,4,4/4,10,33.7509,53.2642
209,55.3659,1,20.4573,6.1349,9.2588,4.4876,0.5760,8,0.875,0.00075,4,4/4,10,31.5732,45.4810
210,46.2021,1,20.4794,6.1847,9.2542,4.5123,0.5282,9,0.778,0.00075,4,4/4,10,25.9915,38.1979
211,48.6336,1,20.1889,5.5880,8.9928,5.0800,0.5282,9,0.889,0.00074,4,4/4,10,24.6324,41.9341
212,47.1668,1,21.0031,5.5596,9.7384,5.1797,0.5255,9,1.000,0.00074,4,4/4,10,21.8801,41.7848
213,42.8679,1,20.1587,5.9746,8.7144,4.9271,0.5425,9,1.000,0.00073,4,4/4,10,26.4922,33.7019
214,41.5335,1,19.6415,5.3893,8.5410,5.2050,0.5062,10,1.000,0.00073,4,4/4,10,25.2749,32.9577
215,38.1718,1,20.9089,6.0087,9.0050,5.3040,0.5913,10,1.000,0.00072,4,4/4,10,21.0194,31.8633
216,43.5436,1,20.5457,5.7087,9.1273,5.1947,0.5150,10,1.000,0.00072,4,4/4,10,21.6481,37.7810
217,40.2260,1,20.2704,5.6950,8.8753,5.1850,0.5150,10,1.000,0.00072,4,4/4,10,23.7439,32.4709
218,44.6936,1,19.0879,5.5393,7.9806,5.0775,0.4904,10,1.000,0.00071,4,4/4,10,19.6812,40.1268
